"date","RT_ID","Focal","Neighbour","stand","Treatment","Repetition","BE_BoitEng_Hauteur_mm","SPUR_Squelette_Corrige_mm","SURF_Surface_Projetee_mm2","pair"
"1",514,"GIUSTO","CASANOVA","mixed","S","3",56.97984,2939.710243,3066.39618429761,"GIUSTO;CASANOVA"
"1",515,"MONASTIR","EL4X_35","mixed","S","3",64.90712,2791.472317,3068.18490763998,"MONASTIR;EL4X_35"
"1",516,"AVENTUR","EL4X_194","mixed","S","3",172.50888,2293.3706585,2344.34758606562,"AVENTUR;EL4X_194"
"1",517,"FURIO_CAMILLO","FURIO_CAMILLO","pure","S","3",384.25176,3246.01733,3217.50767842797,"FURIO_CAMILLO;FURIO_CAMILLO"
"1",518,"EL4X_120","CHAM-1_DP136","mixed","S","3",452.61952,4782.2119155,4510.34904047147,"EL4X_120;CHAM-1_DP136"
"1",521,"NOBILIS","LLOYD","mixed","S","1",46.11504,2233.058169,2290.80281970061,"NOBILIS;LLOYD"
"1",522,"MIKI-1_DP161","MIKI-1_DP161","pure","S","1",101.24384,3437.2989675,3356.5859428006,"MIKI-1_DP161;MIKI-1_DP161"
"1",523,"EL4X_464","EL4X_464","pure","S","1",191.38144,2615.0657655,2673.5128770909,"EL4X_464;EL4X_464"
"1",524,"NEMESIS","NEMESIS","pure","S","1",29.5764,1889.3069,2144.1457765495,"NEMESIS;NEMESIS"
"1",525,"L2574","CASANOVA","mixed","S","1",113.71824,3277.7764935,3280.79815501583,"L2574;CASANOVA"
"1",526,"MIKI-1_DP161","EL4X_464","mixed","S","1",225.26352,4107.917428,4010.71603969886,"MIKI-1_DP161;EL4X_464"
"1",527,"Selcuklu-97","Selcuklu-97","pure","S","1",196.65288,3105.644392,3228.89046333393,"Selcuklu-97;Selcuklu-97"
"1",528,"LAHAN","BOLIDO-DP034","mixed","S","1",133.63704,3221.311009,3036.40994579415,"LAHAN;BOLIDO-DP034"
"1",529,"SVEVO","EL4X_428","mixed","S","2",88.97064,2144.6197985,2813.63441115555,"SVEVO;EL4X_428"
"1",53,"L2574","CASANOVA","mixed","C","1",65.14856,2896.36732,2768.36271863551,"L2574;CASANOVA"
"1",530,"LAHAN","EL4X_120","mixed","S","2",226.10856,3217.4212595,3101.81802233482,"LAHAN;EL4X_120"
"1",531,"AZEGHAR-2_DP128","NEMESIS","mixed","S","2",178.94728,3287.137539,3416.39580859458,"AZEGHAR-2_DP128;NEMESIS"
"1",532,"EL4X_120","EL4X_120","pure","S","2",180.79832,3234.5190595,3488.0068634267,"EL4X_120;EL4X_120"
"1",533,"EL4X_428","EL4X_428","pure","S","2",236.57096,3965.065309,4037.66382374027,"EL4X_428;EL4X_428"
"1",534,"ASTERIX","ASTERIX","pure","S","2",63.21704,3803.234632,3970.77945663716,"ASTERIX;ASTERIX"
"1",535,"AVENTUR","ORJAUNE","mixed","S","2",61.366,2605.191786,2771.4724296965,"AVENTUR;ORJAUNE"
"1",536,"ARDENTE","ARDENTE","pure","S","2",88.89016,2479.0527665,2404.29996505746,"ARDENTE;ARDENTE"
"1",537,"LLOYD","EL4X_464","mixed","S","3",150.41712,2719.7043015,2754.40738779896,"LLOYD;EL4X_464"
"1",538,"NOBILIS","EL4X_316","mixed","S","3",81.44576,2518.3777065,2536.64539437737,"NOBILIS;EL4X_316"
"1",539,"QUALIDOU","QUALIDOU","pure","S","3",89.21208,2535.261784,2498.74236502358,"QUALIDOU;QUALIDOU"
"1",540,"ORJAUNE","KOFA","mixed","S","3",187.19648,3575.7056585,3600.90106833107,"ORJAUNE;KOFA"
"1",541,"Selcuklu-97","Selcuklu-97","pure","S","3",417.16808,3364.3768505,3584.9395901708,"Selcuklu-97;Selcuklu-97"
"1",542,"MONASTIR","BALSAMO","mixed","S","3",90.66072,3923.517655,3733.13504502188,"MONASTIR;BALSAMO"
"1",543,"Selcuklu-97","EL4X_194","mixed","S","3",295.88472,3652.859481,3736.13513054605,"Selcuklu-97;EL4X_194"
