spectre,rhyzotube ,comment
Spectrum00519,330,NA
Spectrum00520,331,NA
Spectrum00521,331,NA
Spectrum00522,331,NA
Spectrum00523,331,NA
Spectrum00524,331,NA
Spectrum00525,331,NA
Spectrum00526,332,NA
Spectrum00527,332,NA
Spectrum00528,332,NA
Spectrum00529,332,NA
Spectrum00530,332,NA
Spectrum00531,332,NA
Spectrum00532,333,NA
Spectrum00533,333,NA
Spectrum00534,333,NA
Spectrum00535,333,NA
Spectrum00536,333,NA
Spectrum00537,333,NA
Spectrum00538,334,NA
Spectrum00539,334,NA
Spectrum00540,334,NA
Spectrum00541,334,NA
Spectrum00542,334,NA
Spectrum00543,334,NA
Spectrum00544,335,NA
Spectrum00545,335,NA
Spectrum00546,335,NA
Spectrum00547,335,NA
Spectrum00548,335,NA
Spectrum00549,335,NA
Spectrum00550,336,NA
Spectrum00551,336,NA
Spectrum00552,336,NA
Spectrum00553,336,NA
Spectrum00554,336,NA
Spectrum00555,336,NA
Spectrum00556,339,NA
Spectrum00558,339,NA
Spectrum00559,339,NA
Spectrum00560,339,NA
Spectrum00561,339,NA
Spectrum00562,339,NA
Spectrum00563,340,NA
Spectrum00564,340,NA
Spectrum00565,340,NA
Spectrum00566,340,NA
Spectrum00567,340,NA
Spectrum00568,340,NA
Spectrum00569,341,NA
Spectrum00570,341,NA
Spectrum00571,341,NA
Spectrum00572,341,NA
Spectrum00573,341,NA
Spectrum00574,341,NA
Spectrum00575,342,NA
Spectrum00576,342,NA
Spectrum00577,342,NA
Spectrum00578,342,NA
Spectrum00579,342,NA
Spectrum00580,342,NA
Spectrum00581,343,NA
Spectrum00582,343,NA
Spectrum00583,343,NA
Spectrum00584,343,NA
Spectrum00585,343,NA
Spectrum00586,343,NA
Spectrum00587,344,NA
Spectrum00588,344,NA
Spectrum00589,344,NA
Spectrum00590,344,NA
Spectrum00591,344,NA
Spectrum00592,344,NA
Spectrum00593,345,NA
Spectrum00594,345,NA
Spectrum00595,345,NA
Spectrum00596,345,NA
Spectrum00597,345,NA
Spectrum00598,345,NA
Spectrum00599,348,NA
Spectrum00600,348,NA
Spectrum00601,348,NA
Spectrum00602,348,NA
Spectrum00603,348,NA
Spectrum00604,348,NA
Spectrum00605,349,NA
Spectrum00606,349,NA
Spectrum00607,349,NA
Spectrum00608,349,NA
Spectrum00609,349,NA
Spectrum00610,349,NA
Spectrum00611,350,NA
Spectrum00612,350,NA
Spectrum00613,350,NA
Spectrum00614,350,NA
Spectrum00615,350,NA
Spectrum00616,350,NA
Spectrum00617,351,NA
Spectrum00618,351,NA
Spectrum00619,351,NA
Spectrum00620,351,NA
Spectrum00621,351,NA
Spectrum00622,351,NA
Spectrum00623,352,NA
Spectrum00624,352,NA
Spectrum00625,352,NA
Spectrum00626,352,NA
Spectrum00627,352,NA
Spectrum00628,352,NA
Spectrum00629,353,NA
Spectrum00630,353,NA
Spectrum00631,353,NA
Spectrum00632,353,NA
Spectrum00633,353,NA
Spectrum00634,353,NA
Spectrum00635,354,NA
