spectre,azote
Spectrum00766,3.56455
Spectrum00767,3.482512
Spectrum00768,3.257875
Spectrum00769,3.282653
Spectrum00770,3.321467
Spectrum00771,3.220855
Spectrum00772,3.098102
Spectrum00773,3.438615
Spectrum00774,3.750801
Spectrum00775,4.076059
Spectrum00776,3.417139
Spectrum00777,3.310903
Spectrum00778,3.384499
Spectrum00779,3.575542
Spectrum00780,3.548594
Spectrum00781,3.278471
Spectrum00782,3.563693
Spectrum00783,3.987747
Spectrum00784,3.600123
Spectrum00785,3.620365
Spectrum00786,3.310055
Spectrum00787,3.112541
Spectrum00788,3.680411
Spectrum00789,3.307296
Spectrum00790,3.008414
Spectrum00791,3.513894
Spectrum00792,3.251358
Spectrum00793,2.938212
Spectrum00794,3.152807
Spectrum00795,3.025514
Spectrum00796,3.189329
Spectrum00797,3.19216
Spectrum00798,3.059227
Spectrum00799,2.836716
Spectrum00800,3.072603
Spectrum00801,3.072321
Spectrum00802,2.914562
Spectrum00803,3.089356
Spectrum00804,2.808368
Spectrum00805,3.073649
Spectrum00806,3.055958
Spectrum00807,3.26829
Spectrum00808,3.192466
Spectrum00809,3.284872
Spectrum00810,3.287843
Spectrum00811,3.037636
Spectrum00812,3.211655
Spectrum00813,3.417199
Spectrum00814,3.000031
Spectrum00815,3.107839
Spectrum00816,3.154805
Spectrum00817,3.442353
Spectrum00818,2.811709
Spectrum00819,3.177086
Spectrum00820,3.1773
Spectrum00821,3.001211
Spectrum00822,3.31987
Spectrum00823,3.045087
Spectrum00824,3.025863
