"RT_ID","Plant_ID","Focal","Neighbour","Assoc","Treatment","Repetition","Sampling_ID","Leaf_nb_main_stem","Tiller_nb","Shoot_DW","Root_DW","Total_DW","Root_Shoot_Ratio","Comments"
91,"F","EL4X_194","Selcuklu-97","Mixt","WW",2,3,4,0,232.6,120.5,353.1,0.518056749785039,""
92,"A","RAMIREZ","LGBORIS","Mixt","WW",2,3,5,2,307.2,172.1,479.3,0.560221354166667,""
92,"B","LGBORIS","RAMIREZ","Mixt","WW",2,3,4,2,198.3,97.4,295.7,0.491174987392839,""
92,"C","RAMIREZ","LGBORIS","Mixt","WW",2,3,5,3,329.9,178.5,508.4,0.541073052440133,""
92,"D","LGBORIS","RAMIREZ","Mixt","WW",2,3,5,3,356.4,164.9,521.3,0.462682379349046,""
92,"E","RAMIREZ","LGBORIS","Mixt","WW",2,3,5,2,346.8,182.9,529.7,0.527393310265283,""
92,"F","LGBORIS","RAMIREZ","Mixt","WW",2,3,7,5,468.4,222.5,690.9,0.475021349274125,""
93,"A","MONASTIR","EL4X_35","Mixt","WW",2,3,4,2,227.2,115.8,343,0.509683098591549,""
93,"B","EL4X_35","MONASTIR","Mixt","WW",2,3,5,3,350.7,161.8,512.5,0.461362988309096,""
93,"C","MONASTIR","EL4X_35","Mixt","WW",2,3,4,2,255.2,116.6,371.8,0.456896551724138,""
93,"D","EL4X_35","MONASTIR","Mixt","WW",2,3,4,2,333.1,154.2,487.3,0.462924046832783,""
93,"E","MONASTIR","EL4X_35","Mixt","WW",2,3,6,4,404,182.8,586.8,0.452475247524752,""
93,"F","EL4X_35","MONASTIR","Mixt","WW",2,3,5,3,391.4,177.9,569.3,0.454522227899847,""
94,"A","Selcuklu-97","Selcuklu-97","Monoc","WW",2,3,6,3,390.2,172.7,562.9,0.44259354177345,""
94,"B","Selcuklu-97","Selcuklu-97","Monoc","WW",2,3,7,5,532.2,251.5,783.7,0.472566704246524,""
94,"C","Selcuklu-97","Selcuklu-97","Monoc","WW",2,3,5,3,322.1,157.1,479.2,0.487736727724309,""
94,"D","Selcuklu-97","Selcuklu-97","Monoc","WW",2,3,4,2,231.5,135.4,366.9,0.58488120950324,""
94,"E","Selcuklu-97","Selcuklu-97","Monoc","WW",2,3,8,5,516.7,238.2,754.9,0.461002515966712,""
94,"F","Selcuklu-97","Selcuklu-97","Monoc","WW",2,3,6,4,477.7,211.1,688.8,0.441909148000837,""
95,"A","LLOYD","EL4X_464","Mixt","WW",3,3,NA,NA,NA,NA,NA,NA,""
