"Num","Lot","Num_RT"
322,"Rec","RT 322"
323,"Rec","RT 323"
324,"Rec","RT 324"
325,"Rec","RT 325"
326,"Rec","RT 326"
327,"Rec","RT 327"
328,"Rec","RT 328"
329,"Rec","RT 329"
330,"Rec","RT 330"
331,"Rec","RT 331"
332,"Rec","RT 332"
333,"Rec","RT 333"
334,"Rec","RT 334"
335,"Rec","RT 335"
336,"Rec","RT 336"
339,"Rec","RT 339"
340,"Rec","RT 340"
341,"Rec","RT 341"
342,"Rec","RT 342"
343,"Rec","RT 343"
344,"Rec","RT 344"
345,"Rec","RT 345"
346,"Clim","RT 346"
347,"Clim","RT 347"
348,"Rec","RT 348"
349,"Rec","RT 349"
350,"Rec","RT 350"
351,"Rec","RT 351"
352,"Rec","RT 352"
353,"Rec","RT 353"
354,"Rec","RT 354"
355,"Rec","RT 355"
356,"Rec","RT 356"
357,"Rec","RT 357"
358,"Rec","RT 358"
359,"Rec","RT 359"
360,"Rec","RT 360"
361,"Rec","RT 361"
362,"Rec","RT 362"
365,"Rec","RT 365"
366,"Rec","RT 366"
367,"Rec","RT 367"
368,"Clim","RT 368"
369,"Rec","RT 369"
370,"Rec","RT 370"
371,"Rec","RT 371"
372,"Rec","RT 372"
373,"Rec","RT 373"
374,"Rec","RT 374"
375,"Rec","RT 375"
376,"Rec","RT 376"
377,"Rec","RT 377"
378,"Rec","RT 378"
379,"Rec","RT 379"
380,"Clim","RT 380"
381,"Rec","RT 381"
382,"Rec","RT 382"
383,"Rec","RT 383"
384,"Rec","RT 384"
385,"Rec","RT 385"
386,"Rec","RT 386"
387,"Rec","RT 387"
388,"Rec","RT 388"
389,"Clim","RT 389"
391,"Rec","RT 391"
392,"Rec","RT 392"
393,"Rec","RT 393"
394,"Rec","RT 394"
395,"Rec","RT 395"
396,"Rec","RT 396"
397,"Rec","RT 397"
398,"Clim","RT 398"
399,"Rec","RT 399"
400,"Rec","RT 400"
401,"Rec","RT 401"
402,"Rec","RT 402"
403,"Rec","RT 403"
404,"Rec","RT 404"
405,"Rec","RT 405"
406,"Rec","RT 406"
407,"Rec","RT 407"
408,"Rec","RT 408"
409,"Rec","RT 409"
410,"Rec","RT 410"
411,"Rec","RT 411"
412,"Rec","RT 412"
413,"Rec","RT 413"
414,"Rec","RT 414"
417,"Rec","RT 417"
418,"Rec","RT 418"
419,"Rec","RT 419"
420,"Rec","RT 420"
421,"Rec","RT 421"
422,"Rec","RT 422"
423,"Rec","RT 423"
424,"Rec","RT 424"
425,"Rec","RT 425"
426,"Rec","RT 426"
427,"Rec","RT 427"
428,"Rec","RT 428"
429,"Rec","RT 429"
430,"Rec","RT 430"
431,"Rec","RT 431"
432,"Rec","RT 432"
433,"Rec","RT 433"
434,"Rec","RT 434"
435,"Rec","RT 435"
436,"Rec","RT 436"
437,"Rec","RT 437"
438,"Rec","RT 438"
439,"Clim","RT 439"
440,"Rec","RT 440"
443,"Rec","RT 443"
444,"Rec","RT 444"
445,"Rec","RT 445"
446,"Rec","RT 446"
447,"Rec","RT 447"
448,"Rec","RT 448"
449,"Rec","RT 449"
450,"Rec","RT 450"
451,"Rec","RT 451"
452,"Rec","RT 452"
453,"Rec","RT 453"
454,"Rec","RT 454"
455,"Rec","RT 455"
456,"Rec","RT 456"
457,"Rec","RT 457"
458,"Rec","RT 458"
459,"Rec","RT 459"
460,"Rec","RT 460"
461,"Clim","RT 461"
462,"Rec","RT 462"
463,"Clim","RT 463"
464,"Rec","RT 464"
465,"Rec","RT 465"
466,"Rec","RT 466"
469,"Rec","RT 469"
470,"Rec","RT 470"
471,"Rec","RT 471"
472,"Rec","RT 472"
473,"Rec","RT 473"
474,"Rec","RT 474"
475,"Rec","RT 475"
476,"Rec","RT 476"
477,"Rec","RT 477"
478,"Rec","RT 478"
479,"Rec","RT 479"
480,"Rec","RT 480"
481,"Rec","RT 481"
482,"Rec","RT 482"
483,"Rec","RT 483"
484,"Rec","RT 484"
485,"Rec","RT 485"
486,"Rec","RT 486"
487,"Rec","RT 487"
488,"Clim","RT 488"
489,"Rec","RT 489"
490,"Rec","RT 490"
491,"Rec","RT 491"
492,"Rec","RT 492"
495,"Rec","RT 495"
496,"Rec","RT 496"
497,"Rec","RT 497"
498,"Rec","RT 498"
499,"Rec","RT 499"
500,"Rec","RT 500"
501,"Rec","RT 501"
502,"Rec","RT 502"
503,"Rec","RT 503"
504,"Rec","RT 504"
505,"Clim","RT 505"
506,"Rec","RT 506"
507,"Rec","RT 507"
508,"Rec","RT 508"
509,"Clim","RT 509"
510,"Rec","RT 510"
511,"Rec","RT 511"
512,"Rec","RT 512"
513,"Rec","RT 513"
514,"Rec","RT 514"
515,"Rec","RT 515"
516,"Rec","RT 516"
517,"Rec","RT 517"
518,"Rec","RT 518"
521,"Rec","RT 521"
522,"Rec","RT 522"
523,"Rec","RT 523"
524,"Rec","RT 524"
525,"Rec","RT 525"
526,"Rec","RT 526"
527,"Rec","RT 527"
528,"Rec","RT 528"
529,"Rec","RT 529"
530,"Rec","RT 530"
531,"Rec","RT 531"
532,"Rec","RT 532"
533,"Rec","RT 533"
534,"Rec","RT 534"
535,"Rec","RT 535"
536,"Rec","RT 536"
537,"Rec","RT 537"
538,"Rec","RT 538"
539,"Rec","RT 539"
540,"Rec","RT 540"
541,"Rec","RT 541"
542,"Rec","RT 542"
543,"Rec","RT 543"
544,"Rec","RT 544"
547,"Rec","RT 547"
548,"Rec","RT 548"
549,"Rec","RT 549"
550,"Rec","RT 550"
551,"Rec","RT 551"
552,"Rec","RT 552"
553,"Rec","RT 553"
554,"Rec","RT 554"
555,"Rec","RT 555"
556,"Rec","RT 556"
557,"Rec","RT 557"
558,"Rec","RT 558"
559,"Rec","RT 559"
560,"Rec","RT 560"
561,"Rec","RT 561"
562,"Rec","RT 562"
563,"Clim","RT 563"
564,"Rec","RT 564"
565,"Rec","RT 565"
566,"Rec","RT 566"
567,"Rec","RT 567"
568,"Rec","RT 568"
